AssmentYr,ProjYear,lag,Species,Area,OFL,ABC,TAC,Order,OY,IsTotal
2025,2026,1,Pollock,EBS,2496000,2036000,1375000,1,1,PollockEBS
2025,2026,1,Pollock,AI,56231,46437,19000,1,1,PollockAI
2025,2026,1,Pollock,Bogoslof,77354,58015,250,1,1,PollockBogoslof
2025,2026,1,Pacific cod,BS,169243,141520,123077,2,0,Pacific codBS
2025,2026,1,Pacific cod,AI,16273,12973,8951,2,0,Pacific codAI
2025,2026,1,Pacific cod,BSAI,185516,154493,132028,2,1,Pacific codBSAI
2025,2026,1,Sablefish,BSAI/GOA,57797,47008,NA,3,0,SablefishBSAI/GOA
2025,2026,1,Sablefish,BS,NA,13037,8996,3,1,SablefishBS
2025,2026,1,Sablefish,AI,NA,11421,7440,3,1,SablefishAI
2025,2026,1,Yellowfin sole,BSAI,305039,267639,145000,4,1,Yellowfin soleBSAI
2025,2026,1,Greenland turbot,BSAI,2059,1328,1328,5,1,Greenland turbotBSAI
2025,2026,1,Greenland turbot,BS,NA,1120,1120,5,0,Greenland turbotBS
2025,2026,1,Greenland turbot,AI,NA,208,208,5,0,Greenland turbotAI
2025,2026,1,Arrowtooth flounder,BSAI,102472,87035,14000,6,1,Arrowtooth flounderBSAI
2025,2026,1,Kamchatka flounder,BSAI,7790,6606,6606,7,1,Kamchatka flounderBSAI
2025,2026,1,Northern rock sole,BSAI,166220,158225,75000,8,1,Northern rock soleBSAI
2025,2026,1,Flathead sole,BSAI,106283,87700,36000,9,1,Flathead soleBSAI
2025,2026,1,Alaska plaice,BSAI,33965,28230,15682,10,1,Alaska plaiceBSAI
2025,2026,1,Other flatfish,BSAI,26083,19562,4500,11,1,Other flatfishBSAI
2025,2026,1,Pacific ocean perch,BSAI,43084,36578,33490,12,1,Pacific ocean perchBSAI
2025,2026,1,Pacific ocean perch,BS,NA,9905,9905,12,0,Pacific ocean perchBS
2025,2026,1,Pacific ocean perch,EAI,NA,6144,6144,12,0,Pacific ocean perchEAI
