AssmentYr,ProjYear,lag,Area,Species,ABC,OFL,TAC,OY,Order
1986,1986,1,610/620/630 (subtotal),Pollock,,,289000,1,1
1986,1986,1,E,Pollock,,,13280,1,1
1986,1986,1,C,Pacific cod,,,26832,1,2
1986,1986,1,E,Pacific cod,,,7920,1,2
1986,1986,1,Total,Pacific cod,,,48000,1,2
1986,1986,1,W,Pacific cod,,,13248,1,2
1986,1986,1,C,Sablefish,,,3060,1,3
1986,1986,1,W,Sablefish,,,1670,1,3
1986,1986,1,WYK,Sablefish,,,1680,1,3
1986,1986,1,C,Pacific Ocean Perch,,,3906,1,9
1986,1986,1,E,Pacific Ocean Perch,,,875,1,9
1986,1986,1,Total,Pacific Ocean Perch,,,6083,1,9
1986,1986,1,W,Pacific Ocean Perch,,,1302,1,9
1986,1986,1,Total (GW),Thornyhead Rockfish,,,3000,1,15
1986,1986,1,GW,Other Rockfish,,,4400,1,16
1986,1986,1,SEO,Other Rockfish,,,600,1,16
1986,1986,1,Total,Other Rockfish,,,5000,1,16
1986,1986,1,C,Atka Mackerel,,,400,1,17
1986,1986,1,E,Atka Mackerel,,,80,1,17
1986,1986,1,Total (GW),Atka Mackerel,,,4232,1,17
1986,1986,1,W,Atka Mackerel,,,3752,1,17
1986,1986,1,GW,Squids,,,4000,1,25
1986,1986,1,Total (GW),Other Species,,,17968,1,27
1986,1986,1,C,Other Flounder,,,11770,1,29
1986,1986,1,E,Other Flounder,,,6720,1,29
1986,1986,1,Total,Other Flounder,,,26810,1,29
1986,1986,1,W,Other Flounder,,,8320,1,29
1987,1987,1,610/620/630 (subtotal),Pollock,,,84000,1,1
1987,1987,1,E,Pollock,,,4000,1,1
1987,1987,1,Shelikof,Pollock,,,20000,1,1
1987,1987,1,Total,Pollock,,,108000,1,1
1987,1987,1,C,Pacific cod,,,33000,1,2
1987,1987,1,E,Pacific cod,,,2000,1,2
1987,1987,1,Total,Pacific cod,,,50000,1,2
1987,1987,1,W,Pacific cod,,,15000,1,2
1987,1987,1,C,Sablefish,,,8800,1,3
1987,1987,1,SEO/EYK,Sablefish,,,4200,1,3
1987,1987,1,Total,Sablefish,,,20000,1,3
1987,1987,1,W,Sablefish,,,3000,1,3
1987,1987,1,WYK,Sablefish,,,4000,1,3
1987,1987,1,C,Pacific Ocean Perch,,,1500,1,9
1987,1987,1,E,Pacific Ocean Perch,,,2000,1,9
1987,1987,1,Total,Pacific Ocean Perch,,,5000,1,9
1987,1987,1,W,Pacific Ocean Perch,,,1500,1,9
1987,1987,1,Total (GW),Thornyhead Rockfish,,,3750,1,15
1987,1987,1,GW,Other Rockfish,,,4000,1,16
1987,1987,1,SEO,Other Rockfish,,,1250,1,16
1987,1987,1,Total,Other Rockfish,,,5250,1,16
1987,1987,1,C,Atka Mackerel,,,100,1,17
1987,1987,1,E,Atka Mackerel,,,40,1,17
1987,1987,1,Total (GW),Atka Mackerel,,,240,1,17
1987,1987,1,W,Atka Mackerel,,,100,1,17
1987,1987,1,,Total,,,216552,1,23
1987,1987,1,GW,Squids,,,5000,1,25
1987,1987,1,Total (GW),Other Species,,,10312,1,27
1987,1987,1,C,Other Flounder,,,5500,1,29
1987,1987,1,E,Other Flounder,,,500,1,29
1987,1987,1,Total,Other Flounder,,,9000,1,29
1987,1987,1,W,Other Flounder,,,3000,1,29
1988,1988,1,610/620/630 (subtotal),Pollock,90000,,90000,1,1
1988,1988,1,E,Pollock,3000,,3000,1,1
1988,1988,1,Total,Pollock,93000,,93000,1,1
1988,1988,1,C,Pacific cod,73000,,60800,1,2
1988,1988,1,E,Pacific cod,7000,,200,1,2
1988,1988,1,Total,Pacific cod,99000,,80000,1,2
1988,1988,1,W,Pacific cod,19000,,19000,1,2
1988,1988,1,C,Sablefish,15680,,12540,1,3
1988,1988,1,SEO/EYK,Sablefish,8120,,6500,1,3
1988,1988,1,Total,Sablefish,35000,,28000,1,3
1988,1988,1,W,Sablefish,5075,,4060,1,3
1988,1988,1,WYK,Sablefish,6125,,4900,1,3
1988,1988,1,SEO,Demersal Shelf Rockfish,,,660,1,14
1988,1988,1,Total (GW),Thornyhead Rockfish,3750,,3750,1,15
1988,1988,1,C,Other Rockfish,7100,,7100,1,16
1988,1988,1,E,Other Rockfish,4850,,4850,1,16
1988,1988,1,Total,Other Rockfish,16800,,16800,1,16
1988,1988,1,W,Other Rockfish,4850,,4850,1,16
1988,1988,1,,Total,1018550,,260936,1,23
1988,1988,1,C,Pelagic Shelf Rockfish,2350,,2350,1,26
1988,1988,1,E,Pelagic Shelf Rockfish,400,,400,1,26
1988,1988,1,Total,Pelagic Shelf Rockfish,3300,,3300,1,26
1988,1988,1,W,Pelagic Shelf Rockfish,550,,550,1,26
1988,1988,1,Total (GW),Other Species,,,12426,1,27
1988,1988,1,C,Other Flounder,538280,,21300,1,29
1988,1988,1,E,Other Flounder,86770,,100,1,29
1988,1988,1,Total,Other Flounder,767700,,23000,1,29
1988,1988,1,W,Other Flounder,142650,,1600,1,29
1989,1989,1,610/620/630 (subtotal),Pollock,60000,,53750,1,1
1989,1989,1,E,Pollock,3400,,200,1,1
1989,1989,1,Shelikof,Pollock,,,6250,1,1
1989,1989,1,Total,Pollock,63400,,60200,1,1
1989,1989,1,C,Pacific cod,52000,,52000,1,2
1989,1989,1,E,Pacific cod,5700,,5700,1,2
1989,1989,1,Total,Pacific cod,71200,,71200,1,2
1989,1989,1,W,Pacific cod,13500,,13500,1,2
1989,1989,1,C,Sablefish,13900,,11700,1,3
1989,1989,1,SEO/EYK,Sablefish,6800,,5980,1,3
1989,1989,1,Total,Sablefish,30900,,26000,1,3
1989,1989,1,W,Sablefish,4900,,3770,1,3
1989,1989,1,WYK,Sablefish,5300,,4550,1,3
1989,1989,1,SEO,Demersal Shelf Rockfish,,,420,1,14
1989,1989,1,Total (GW),Thornyhead Rockfish,3800,,3800,1,15
1989,1989,1,C,Other Rockfish,8452,,8452,1,16
1989,1989,1,E,Other Rockfish,5774,,5774,1,16
1989,1989,1,Total,Other Rockfish,20000,,20000,1,16
1989,1989,1,W,Other Rockfish,5774,,5774,1,16
1989,1989,1,,Total,750600,,231966,1,23
1989,1989,1,C,Pelagic Shelf Rockfish,4800,,2400,1,26
1989,1989,1,E,Pelagic Shelf Rockfish,800,,400,1,26
1989,1989,1,Total,Pelagic Shelf Rockfish,6600,,3300,1,26
1989,1989,1,W,Pelagic Shelf Rockfish,1000,,500,1,26
1989,1989,1,Total (GW),Other Species,,,11046,1,27
1989,1989,1,C,Other Flounder,384300,,31800,1,29
1989,1989,1,E,Other Flounder,58900,,1000,1,29
1989,1989,1,Total,Other Flounder,554700,,36000,1,29
1989,1989,1,W,Other Flounder,111500,,3200,1,29
1990,1990,1,610/620/630 (subtotal),Pollock,63750,,63750,1,1
1990,1990,1,E,Pollock,3400,,3400,1,1
1990,1990,1,Shelikof,Pollock,6250,,6250,1,1
1990,1990,1,Total,Pollock,73400,,73400,1,1
1990,1990,1,C,Pacific cod,59500,,59500,1,2
1990,1990,1,E,Pacific cod,1000,,1000,1,2
1990,1990,1,Total,Pacific cod,90000,,90000,1,2
1990,1990,1,W,Pacific cod,29500,,29500,1,2
1990,1990,1,C,Sablefish,11800,,11700,1,3
1990,1990,1,SEO/EYK,Sablefish,6000,,5980,1,3
1990,1990,1,Total,Sablefish,26200,,26000,1,3
1990,1990,1,W,Sablefish,3800,,3770,1,3
1990,1990,1,WYK,Sablefish,4600,,4550,1,3
1990,1990,1,C,Shallow-water Flatfish,52200,,6180,1,4
1990,1990,1,E,Shallow-water Flatfish,2100,,250,1,4
1990,1990,1,Total,Shallow-water Flatfish,84500,,10000,1,4
1990,1990,1,W,Shallow-water Flatfish,30200,,3570,1,4
1990,1990,1,C,Deep-water Flatfish,77700,,15300,1,5
1990,1990,1,E,Deep-water Flatfish,14400,,3050,1,5
1990,1990,1,Total,Deep-water Flatfish,108400,,22000,1,5
1990,1990,1,W,Deep-water Flatfish,16300,,3650,1,5
1990,1990,1,C,Arrowtooth Flounder,141000,,23170,1,7
1990,1990,1,E,Arrowtooth Flounder,26600,,4380,1,7
1990,1990,1,Total,Arrowtooth Flounder,194600,,32000,1,7
1990,1990,1,W,Arrowtooth Flounder,27000,,4450,1,7
1990,1990,1,SEO,Demersal Shelf Rockfish,,,470,1,14
1990,1990,1,Total (GW),Thornyhead Rockfish,3800,,3800,1,15
1990,1990,1,C,Other Rockfish,7700,,7700,1,16
1990,1990,1,E,Other Rockfish,5700,,5700,1,16
1990,1990,1,Total,Other Rockfish,17700,,17700,1,16
1990,1990,1,W,Other Rockfish,4300,,4300,1,16
1990,1990,1,,Total,606800,,297749,1,23
1990,1990,1,C,Pelagic Shelf Rockfish,5800,,5800,1,26
1990,1990,1,E,Pelagic Shelf Rockfish,1000,,1000,1,26
1990,1990,1,Total,Pelagic Shelf Rockfish,8200,,8200,1,26
1990,1990,1,W,Pelagic Shelf Rockfish,1400,,1400,1,26
1990,1990,1,Total (GW),Other Species,,,14179,1,27
1991,1991,1,610/620,Pollock,50000,,50000,1,1
1991,1991,1,610/620/630 (subtotal),Pollock,100000,,100000,1,1
1991,1991,1,E,Pollock,3400,,3400,1,1
1991,1991,1,Kodiak (630),Pollock,50000,,50000,1,1
1991,1991,1,Total,Pollock,103400,,103400,1,1
1991,1991,1,C,Pacific cod,45000,,45000,1,2
1991,1991,1,E,Pacific cod,2900,,2900,1,2
1991,1991,1,Total,Pacific cod,77900,,77900,1,2
1991,1991,1,W,Pacific cod,30000,,30000,1,2
1991,1991,1,C,Sablefish,10575,,10575,1,3
1991,1991,1,SEO/EYK,Sablefish,4950,,4950,1,3
1991,1991,1,Total,Sablefish,22500,,22500,1,3
1991,1991,1,W,Sablefish,2925,,2925,1,3
1991,1991,1,WYK,Sablefish,4050,,4050,1,3
1991,1991,1,C,Shallow-water Flatfish,22200,,7000,1,4
1991,1991,1,E,Shallow-water Flatfish,3000,,2000,1,4
1991,1991,1,Total,Shallow-water Flatfish,74000,,12000,1,4
1991,1991,1,W,Shallow-water Flatfish,48800,,3000,1,4
1991,1991,1,C,Deep-water Flatfish,38900,,10000,1,5
1991,1991,1,E,Deep-water Flatfish,9600,,3000,1,5
1991,1991,1,Total,Deep-water Flatfish,50500,,15000,1,5
1991,1991,1,W,Deep-water Flatfish,2000,,2000,1,5
1991,1991,1,C,Arrowtooth Flounder,272100,,10000,1,7
1991,1991,1,E,Arrowtooth Flounder,27200,,5000,1,7
1991,1991,1,Total,Arrowtooth Flounder,340100,,20000,1,7
1991,1991,1,W,Arrowtooth Flounder,40800,,5000,1,7
1991,1991,1,C,Flathead Sole,32700,,5000,1,8
1991,1991,1,E,Flathead Sole,5000,,3000,1,8
1991,1991,1,Total,Flathead Sole,50300,,10000,1,8
1991,1991,1,W,Flathead Sole,12600,,2000,1,8
1991,1991,1,C,Pacific Ocean Perch,,,1798,1,9
1991,1991,1,E,Pacific Ocean Perch,,,2378,1,9
1991,1991,1,Total,Pacific Ocean Perch,5800,,5800,1,9
1991,1991,1,W,Pacific Ocean Perch,,,1624,1,9
1991,1991,1,SEO,Demersal Shelf Rockfish,445,,425,1,14
1991,1991,1,Total (GW),Thornyhead Rockfish,1798,,1398,1,15
1991,1991,1,C,Other Rockfish,,,5454,1,16
1991,1991,1,E,Other Rockfish,,,3434,1,16
1991,1991,1,Total,Other Rockfish,10100,,10100,1,16
1991,1991,1,W,Other Rockfish,,,1212,1,16
1991,1991,1,,Total,743643,,301089,1,23
1991,1991,1,C,Pelagic Shelf Rockfish,,,3100,1,26
1991,1991,1,E,Pelagic Shelf Rockfish,,,900,1,26
1991,1991,1,Total,Pelagic Shelf Rockfish,4800,,4800,1,26
