AssmentYr,ProjYear,lag,Species,Area,OFL,ABC,TAC,Order,OY,IsTotal
2018,2018,1,Pollock,Shumagin (610),n/a,"30,188","30,188",1.0,1,PollockShumagin610
2018,2018,1,Pollock,Chirikof (620),n/a,"79,495","79,495",1.0,1,PollockChirikof620
2018,2018,1,Pollock,Kodiak (630),n/a,"40,939","40,939",1.0,1,PollockKodiak630
2018,2018,1,Pollock,WYK (640),n/a,"6,833","6,833",1.0,1,PollockWYK640
2018,2018,1,Pollock,W/C/WYK (subtotal),"187,059","161,492","157,455",1.0,1,PollockWCWYKsubtotal
2018,2018,1,Pollock,SEO (650),"11,697","8,773","8,773",1.0,1,PollockSEO650
2018,2018,1,Pollock,Total,"198,756","170,265","166,228",1.0,1,PollockTotal
2018,2018,1,Pacific cod,W,n/a,"8,082","5,657",2.0,1,Pacific codW
2018,2018,1,Pacific cod,C,n/a,"8,118","6,089",2.0,1,Pacific codC
2018,2018,1,Pacific cod,E,n/a,"1,800","1,350",2.0,1,Pacific codE
2018,2018,1,Pacific cod,Total,"23,565","18,000","13,096",2.0,1,Pacific codTotal
2018,2018,1,Sablefish,W,n/a,"1,544","1,544",3.0,1,SablefishW
2018,2018,1,Sablefish,C,n/a,"5,158","5,158",3.0,1,SablefishC
2018,2018,1,Sablefish,WYK,n/a,"1,829","1,829",3.0,1,SablefishWYK
2018,2018,1,Sablefish,SEO,n/a,"2,974","2,974",3.0,1,SablefishSEO
2018,2018,1,Sablefish,E (WYK and SEO) (subtotal),n/a,"4,803","4,803",3.0,1,SablefishEWYKandSEOsubtotal
2018,2018,1,Sablefish,Total,"22,703","11,505","11,505",3.0,1,SablefishTotal
2018,2018,1,Shallow-water flatfish,W,n/a,"25,206","13,250",,1,Shallow-water flatfishW
2018,2018,1,Shallow-water flatfish,C,n/a,"25,315","25,315",,1,Shallow-water flatfishC
2018,2018,1,Shallow-water flatfish,WYK,n/a,"2,242","2,242",,1,Shallow-water flatfishWYK
2018,2018,1,Shallow-water flatfish,SEO,n/a,"1,925","1,925",,1,Shallow-water flatfishSEO
2018,2018,1,Shallow-water flatfish,Total,"67,240","54,688","42,732",,1,Shallow-water flatfishTotal
2018,2018,1,Deep-water flatfish,W,n/a,413,413,,1,Deep-water flatfishW
2018,2018,1,Deep-water flatfish,C,n/a,"3,400","3,400",,1,Deep-water flatfishC
