AssmentYr,ProjYear,lag,Species,Area,OFL,ABC,TAC,Order,OY,IsTotal
2000,2000,1,Shumagin,(610),,"29,290",,,1,Shumagin610
2000,2000,1,Chirikof,(620),,"17,430",,,1,Chirikof620
2000,2000,1,Kodiak,(630),,"22,930",,,1,Kodiak630
2000,2000,1,Shelikof,GOA,,"21,550",,,1,ShelikofGOA
2000,2000,1,WYK,(640),,"2,340",,,1,WYK640
2000,2000,1,Subtotal,W/C/WYK,,"93,540",,,1,SubtotalWCWYK
2000,2000,1,SEO,(650),,"6,460",,,1,SEO650
2000,2000,1,Total,GOA,,"100,000",,23.0,1,TotalGOA
2000,2000,1,Total,W,,"27,500",,23.0,1,TotalW
2000,2000,1,Total,C,,"43,550",,23.0,1,TotalC
2000,2000,1,Total,GOA,,"76,400",,23.0,1,TotalGOA
2000,2000,1,Flatfish 4 (deep-water),W,,280,,,1,Flatfish 4 (deep-water)W
2000,2000,1,Flatfish 4 (deep-water),C,,"2,710",,,1,Flatfish 4 (deep-water)C
2000,2000,1,Flatfish 4 (deep-water),WYK,,"1,240",,,1,Flatfish 4 (deep-water)WYK
2000,2000,1,Flatfish 4 (deep-water),SEO,,"1,070",,,1,Flatfish 4 (deep-water)SEO
2000,2000,1,Total,GOA,,"5,300",,23.0,1,TotalGOA
2000,2000,1,Rex sole,W,,"1,230",,,1,Rex soleW
2000,2000,1,Rex sole,C,,"5,660",,,1,Rex soleC
2000,2000,1,Rex sole,WYK,,"1,540",,,1,Rex soleWYK
2000,2000,1,Rex sole,SEO,,"1,010",,,1,Rex soleSEO
2000,2000,1,Total,GOA,,"9,440",,23.0,1,TotalGOA
2000,2000,1,Flathead sole,W,,"8,490",,,1,Flathead soleW
2000,2000,1,Flathead sole,C,,"15,720",,,1,Flathead soleC
2000,2000,1,Flathead sole,WYK,,"1,440",,,1,Flathead soleWYK
2000,2000,1,Flathead sole,SEO,,620,620,,1,Flathead soleSEO
2000,2000,1,Total,GOA,,"26,270",,23.0,1,TotalGOA
2000,2000,1,Flatfish 5 (shallow-water),W,,"19,510",,,1,Flatfish 5 (shallow-water)W
2000,2000,1,Flatfish 5 (shallow-water),C,,"16,400",,,1,Flatfish 5 (shallow-water)C
2000,2000,1,Flatfish 5 (shallow-water),WYK,,790,,,1,Flatfish 5 (shallow-water)WYK
2000,2000,1,Flatfish 5 (shallow-water),SEO,,"1,160",,,1,Flatfish 5 (shallow-water)SEO
2000,2000,1,Total,GOA,,"37,860",,23.0,1,TotalGOA
2000,2000,1,Arrowtooth flounder,W,,"16,160",,,1,Arrowtooth flounderW
2000,2000,1,Arrowtooth flounder,C,,"97,710",,,1,Arrowtooth flounderC
2000,2000,1,Arrowtooth flounder,WYK,,"23,770",,,1,Arrowtooth flounderWYK
2000,2000,1,Arrowtooth flounder,SEO,,"7,720",,,1,Arrowtooth flounderSEO
2000,2000,1,Total,GOA,,"145,360",,23.0,1,TotalGOA
2000,2000,1,Sablefish,W,,"1,840",,3.0,1,SablefishW
2000,2000,1,Sablefish,C,,"5,730",,3.0,1,SablefishC
2000,2000,1,Sablefish,WYK,,"2,207",,3.0,1,SablefishWYK
2000,2000,1,Sablefish,SEO,,"3,553","3,553",3.0,1,SablefishSEO
2000,2000,1,Subtotal,E,,"5,760",,,1,SubtotalE
2000,2000,1,Total,GOA,,"13,330",,23.0,1,TotalGOA
