"CAS_TAC_ID","ID","YEAR","SPECIES_GROUP_LABEL","AREA_LABEL","OVERFISHING_LEVEL","ACCEPTABLE_BIOLOGICAL_CATCH","TOTAL_ALLOWABLE_CATCH","FMP_AREA_CODE"
18,18,2017,"Alaska plaice","BSAI",42800,36000,13000,"BSAI"
14,14,2017,"Arrowtooth flounder","BSAI",76100,65371,14000,"BSAI"
34,34,2017,"Atka mackerel","BS/EAI",NA,34890,34500,"BSAI"
33,33,2017,"Atka mackerel","BSAI",102700,87200,65000,"BSAI"
35,35,2017,"Atka mackerel","CAI",NA,30330,18000,"BSAI"
36,36,2017,"Atka mackerel","WAI",NA,21980,12500,"BSAI"
15,15,2017,"BSAI Kamchatka flounder","BSAI",10360,8880,5000,"BSAI"
27,27,2017,"Blackspotted/Rougheye rockfish","BS/EAI",NA,306,100,"BSAI"
26,26,2017,"Blackspotted/Rougheye rockfish","BSAI",612,501,225,"BSAI"
28,28,2017,"Blackspotted/Rougheye rockfish","CAI/WAI",NA,195,125,"BSAI"
17,17,2017,"Flathead sole","BSAI",81654,68278,14500,"BSAI"
13,13,2017,"Greenland turbot","AI",NA,844,125,"BSAI"
12,12,2017,"Greenland turbot","BS",NA,5800,4375,"BSAI"
11,11,2017,"Greenland turbot","BSAI",11615,6644,4500,"BSAI"
25,25,2017,"Northern rockfish","BSAI",16242,13264,5000,"BSAI"
40,40,2017,"Octopuses","BSAI",4769,3576,400,"BSAI"
19,19,2017,"Other flatfish","BSAI",17591,13193,2500,"BSAI"
32,32,2017,"Other rockfish","AI",NA,571,550,"BSAI"
31,31,2017,"Other rockfish","BS",NA,791,325,"BSAI"
30,30,2017,"Other rockfish","BSAI",1816,1362,875,"BSAI"
6,6,2017,"Pacific Cod","AI",28700,21500,15695,"BSAI"
5,5,2017,"Pacific Cod","BS",284000,239000,223704,"BSAI"
4,4,2017,"Pacific Cod","Combined BS and AI",312700,260500,239399,"BSAI"
21,21,2017,"Pacific ocean perch","BS",NA,12199,11000,"BSAI"
20,20,2017,"Pacific ocean perch","BSAI",53152,43723,34900,"BSAI"
23,23,2017,"Pacific ocean perch","CAI",NA,8009,7000,"BSAI"
22,22,2017,"Pacific ocean perch","EAI",NA,10307,7900,"BSAI"
24,24,2017,"Pacific ocean perch","WAI",NA,13208,9000,"BSAI"
2,2,2017,"Pollock","AI",43650,36061,19000,"BSAI"
1,1,2017,"Pollock","BS",3640000,2800000,1345000,"BSAI"
3,3,2017,"Pollock","Bogoslof",130428,60800,500,"BSAI"
16,16,2017,"Rock sole","BSAI",159700,155100,47100,"BSAI"
9,9,2017,"Sablefish","AI",2044,1735,1735,"BSAI"
8,8,2017,"Sablefish","BS",1499,1274,1274,"BSAI"
38,38,2017,"Sculpins","BSAI",56582,42387,4500,"BSAI"
39,39,2017,"Sharks","BSAI",689,517,125,"BSAI"
29,29,2017,"Shortraker rockfish","BSAI",666,499,125,"BSAI"
37,37,2017,"Skates","BSAI",49063,41144,26000,"BSAI"
10,10,2017,"Yellowfin Sole","BSAI",287000,260800,154000,"BSAI"
1,1,2020,"Pollock","BS",4085000,2043000,1425000,"BSAI"
2,2,2020,"Pollock","AI",66973,55120,19000,"BSAI"
3,3,2020,"Pollock","Bogoslof",183080,137310,75,"BSAI"
4,4,2020,"Pacific Cod","Combined BS and AI",218786,176473,155595,"BSAI"
5,5,2020,"Pacific Cod","BS",191386,155873,141799,"BSAI"
6,6,2020,"Pacific Cod","AI",27400,20600,13796,"BSAI"
8,8,2020,"Sablefish","BS",NA,2174,1861,"BSAI"
9,9,2020,"Sablefish","AI",NA,2952,2039,"BSAI"
10,10,2020,"Yellowfin Sole","BSAI",287307,260918,150700,"BSAI"
11,11,2020,"Greenland turbot","BSAI",11319,9625,5300,"BSAI"
12,12,2020,"Greenland turbot","BS",NA,8403,5125,"BSAI"
13,13,2020,"Greenland turbot","AI",NA,1222,175,"BSAI"
14,14,2020,"Arrowtooth flounder","BSAI",84057,71618,10000,"BSAI"
15,15,2020,"BSAI Kamchatka flounder","BSAI",11495,9708,6800,"BSAI"
16,16,2020,"Rock sole","BSAI",157300,153300,47100,"BSAI"
17,17,2020,"Flathead sole","BSAI",82810,68134,19500,"BSAI"
18,18,2020,"Alaska plaice","BSAI",37600,31600,17000,"BSAI"
19,19,2020,"Other flatfish","BSAI",21824,16368,4000,"BSAI"
20,20,2020,"Pacific ocean perch","BSAI",58956,48846,42875,"BSAI"
