"CAS_TAC_ID","ID","YEAR","SPECIES_GROUP_LABEL","AREA_LABEL","OVERFISHING_LEVEL","ACCEPTABLE_BIOLOGICAL_CATCH","TOTAL_ALLOWABLE_CATCH","FMP_AREA_CODE"
100,100,2021,"Dusky rockfish","SEO",NA,103,103,"GOA"
97,97,2021,"Dusky rockfish","W",NA,270,270,"GOA"
99,99,2021,"Dusky rockfish","WYK",NA,468,468,"GOA"
79,79,2021,"Flathead sole","C",NA,20826,15400,"GOA"
82,82,2021,"Flathead sole","GOA",47982,39377,28392,"GOA"
81,81,2021,"Flathead sole","SEO",NA,1915,1915,"GOA"
78,78,2021,"Flathead sole","W",NA,14209,8650,"GOA"
80,80,2021,"Flathead sole","WYK",NA,2427,2427,"GOA"
121,121,2021,"Longnose skate","C",NA,1875,1875,"GOA"
122,122,2021,"Longnose skate","E",NA,554,554,"GOA"
123,123,2021,"Longnose skate","GOA",3449,2587,2587,"GOA"
120,120,2021,"Longnose skate","W",NA,158,158,"GOA"
90,90,2021,"Northern rockfish","C",NA,3334,3334,"GOA"
91,91,2021,"Northern rockfish","E",NA,1,NA,"GOA"
92,92,2021,"Northern rockfish","GOA",6396,5358,5357,"GOA"
89,89,2021,"Northern rockfish","W",NA,2023,2023,"GOA"
127,127,2021,"Octopuses","GOA",1307,980,980,"GOA"
114,114,2021,"Other rockfish","GOA",5320,4053,1609,"GOA"
113,113,2021,"Other rockfish","SEO",NA,2744,300,"GOA"
111,111,2021,"Other rockfish","W and C",NA,940,940,"GOA"
112,112,2021,"Other rockfish","WYK",NA,369,369,"GOA"
124,124,2021,"Other skates","GOA",1166,875,875,"GOA"
49,49,2021,"Pacific Cod","C",NA,13656,10242,"GOA"
50,50,2021,"Pacific Cod","E",NA,1985,1489,"GOA"
51,51,2021,"Pacific Cod","GOA",28977,23627,17321,"GOA"
48,48,2021,"Pacific Cod","W",NA,7986,5590,"GOA"
84,84,2021,"Pacific ocean perch","C",NA,27429,27429,"GOA"
88,88,2021,"Pacific ocean perch","GOA",42977,36177,36177,"GOA"
87,87,2021,"Pacific ocean perch","SEO",6414,5400,5400,"GOA"
83,83,2021,"Pacific ocean perch","W",NA,1643,1643,"GOA"
86,86,2021,"Pacific ocean perch","W/C/WYK subtotal",36563,30777,30777,"GOA"
85,85,2021,"Pacific ocean perch","WYK",NA,1705,1705,"GOA"
42,42,2021,"Pollock","Chirikof (620)",NA,54870,54870,"GOA"
47,47,2021,"Pollock","GOA",136986,115870,113227,"GOA"
43,43,2021,"Pollock","Kodiak (630)",NA,24320,24320,"GOA"
46,46,2021,"Pollock","SEO (650)",13531,10148,10148,"GOA"
41,41,2021,"Pollock","Shumagin (610)",NA,18477,18477,"GOA"
45,45,2021,"Pollock","W/C/WYK (subtotal)",123455,105722,103079,"GOA"
44,44,2021,"Pollock","WYK (640)",NA,5412,5412,"GOA"
69,69,2021,"Rex sole","C",NA,8912,8912,"GOA"
72,72,2021,"Rex sole","GOA",18779,15416,15416,"GOA"
71,71,2021,"Rex sole","SEO",NA,2285,2285,"GOA"
68,68,2021,"Rex sole","W",NA,3013,3013,"GOA"
70,70,2021,"Rex sole","WYK",NA,1206,1206,"GOA"
103,103,2021,"Rougheye/Blackspotted rockfish","C",NA,456,456,"GOA"
104,104,2021,"Rougheye/Blackspotted rockfish","E",NA,588,588,"GOA"
105,105,2021,"Rougheye/Blackspotted rockfish","GOA",1456,1212,1212,"GOA"
102,102,2021,"Rougheye/Blackspotted rockfish","W",NA,168,168,"GOA"
53,53,2021,"Sablefish","C",NA,9527,8056,"GOA"
56,56,2021,"Sablefish","E (WYK and SEO) (subtotal)",NA,8724,7508,"GOA"
57,57,2021,"Sablefish","GOA",NA,21475,17991,"GOA"
55,55,2021,"Sablefish","SEO",NA,5273,4579,"GOA"
52,52,2021,"Sablefish","W",NA,3224,2428,"GOA"
54,54,2021,"Sablefish","WYK",NA,3451,2929,"GOA"
125,125,2021,"Sculpins","GOA",NA,NA,NA,"GOA"
59,59,2021,"Shallow-water flatfish","C",NA,28082,28082,"GOA"
62,62,2021,"Shallow-water flatfish","GOA",68841,56164,45263,"GOA"
61,61,2021,"Shallow-water flatfish","SEO",NA,1123,1123,"GOA"
58,58,2021,"Shallow-water flatfish","W",NA,24151,13250,"GOA"
60,60,2021,"Shallow-water flatfish","WYK",NA,2808,2808,"GOA"
126,126,2021,"Sharks","GOA",5006,3755,3755,"GOA"
94,94,2021,"Shortraker rockfish","C",NA,284,284,"GOA"
95,95,2021,"Shortraker rockfish","E",NA,372,372,"GOA"
96,96,2021,"Shortraker rockfish","GOA",944,708,708,"GOA"
93,93,2021,"Shortraker rockfish","W",NA,52,52,"GOA"
108,108,2021,"Thornyhead rockfish","C",NA,910,910,"GOA"
109,109,2021,"Thornyhead rockfish","E",NA,691,691,"GOA"
110,110,2021,"Thornyhead rockfish","GOA",2604,1953,1953,"GOA"
107,107,2021,"Thornyhead rockfish","W",NA,352,352,"GOA"
74,74,2017,"Arrowtooth flounder","C",NA,107934,75000,"GOA"
77,77,2017,"Arrowtooth flounder","GOA",219327,186093,103300,"GOA"
76,76,2017,"Arrowtooth flounder","SEO",NA,12654,6900,"GOA"
73,73,2017,"Arrowtooth flounder","W",NA,28100,14500,"GOA"
75,75,2017,"Arrowtooth flounder","WYK",NA,37405,6900,"GOA"
115,115,2017,"Atka mackerel","GOA",6200,4700,3000,"GOA"
66,66,2021,"Deep-water Flatfish","SEO",NA,1719,1719,"GOA"
101,101,2021,"Dusky rockfish","GOA",8655,5389,5389,"GOA"
117,117,2017,"Big skate","C",NA,1850,1850,"GOA"
118,118,2017,"Big skate","E",NA,1056,1056,"GOA"
119,119,2017,"Big skate","GOA",5086,3814,3814,"GOA"
116,116,2017,"Big skate","W",NA,908,908,"GOA"
64,64,2017,"Deep-water Flatfish","C",NA,3454,3454,"GOA"
67,67,2017,"Deep-water Flatfish","GOA",11182,9292,9292,"GOA"
66,66,2017,"Deep-water Flatfish","SEO",NA,2565,2565,"GOA"
63,63,2017,"Deep-water Flatfish","W",NA,256,256,"GOA"
65,65,2017,"Deep-water Flatfish","WYK",NA,3017,3017,"GOA"
106,106,2017,"Demersal shelf rockfish","SEO",357,227,227,"GOA"
98,98,2017,"Dusky rockfish","C",NA,3786,3786,"GOA"
101,101,2017,"Dusky rockfish","GOA",5233,4278,4278,"GOA"
100,100,2017,"Dusky rockfish","SEO",NA,83,83,"GOA"
97,97,2017,"Dusky rockfish","W",NA,158,158,"GOA"
99,99,2017,"Dusky rockfish","WYK",NA,251,251,"GOA"
79,79,2017,"Flathead sole","C",NA,20339,15400,"GOA"
82,82,2017,"Flathead sole","GOA",43128,35243,27856,"GOA"
81,81,2017,"Flathead sole","SEO",NA,857,857,"GOA"
78,78,2017,"Flathead sole","W",NA,11098,8650,"GOA"
80,80,2017,"Flathead sole","WYK",NA,2949,2949,"GOA"
121,121,2017,"Longnose skate","C",NA,2513,2513,"GOA"
122,122,2017,"Longnose skate","E",NA,632,632,"GOA"
41,41,2020,"Pollock","Shumagin (610)",NA,19175,19175,"GOA"
