AssmentYr,ProjYear,lag,Species,Area,OFL,ABC,TAC
1995,1995,1,Pollock,Chirikof (620),266000,15310,15310
1995,1995,1,Pollock,Shumagin (610),30380,61,30380
1995,1995,1,Thornyhead Rockfish,,2,672,20
1996,1996,1,Arrowtooth Flounder,C,4870,141290690038601210,25000690033331210
1996,1996,1,Arrowtooth Flounder,E,3455,284402740530,50002366530
1996,1996,1,Arrowtooth Flounder,SEO,,4940,4940
1996,1996,1,Arrowtooth Flounder,Total,23141622800101652925,1981301708080601910,350001708069591910
1996,1996,1,Arrowtooth Flounder,W,1840,2840022001460170,500022001260170
1996,1996,1,Arrowtooth Flounder,WYK,,3040,3040
1996,1996,1,Atka Mackerel,Total,9800604383,3240475170,3240260207
1996,1996,1,Flathead Sole,C,,23140,5000
1996,1996,1,Flathead Sole,E,,2850,2740
1996,1996,1,Flathead Sole,Total,31557,52270,9740
1996,1996,1,Flathead Sole,W,,26280,2000
1996,1996,1,Other Rockfish,C,,11704610,11704610
1996,1996,1,Other Rockfish,E,,576020,75020
1996,1996,1,Other Rockfish,Total,83959926,71105270,20205270
1996,1996,1,Other Rockfish,W,,180640,100640
1996,1996,1,Thornyhead Rockfish,GW,2200,1560,1248
1997,1997,1,Arrowtooth Flounder,C,,1421006410,250006410
1997,1997,1,Arrowtooth Flounder,E,,24400,5000
1997,1997,1,Arrowtooth Flounder,Total,280800,197840,35000
1997,1997,1,Arrowtooth Flounder,W,,313401860,50001860
1997,1997,1,Arrowtooth Flounder,WYK,,2410,2410
1997,1997,1,Flathead Sole,C,,15630,5000
1997,1997,1,Flathead Sole,E,,2040,2040
1997,1997,1,Flathead Sole,Total,34010,26110,9040
1997,1997,1,Flathead Sole,W,,8440,2000
1997,1997,1,Pacific Ocean Perch,C,10180,66909706504150,53529706504150
1997,1997,1,Pacific Ocean Perch,E,6790,4460460459010,2366460150010
1997,1997,1,Pacific Ocean Perch,Total,197602740756094208400784860,129901590526050005140282815,9190159021705000514055292
1997,1997,1,Pacific Ocean Perch,W,2790,184016020840,147216020840
1997,1997,1,Pacific Ocean Perch,,145024006200,570260332099095017001000,570260332099095017001000
1998,1998,1,Pollock,Chirikof (620),50045,620,50045
1998,1998,1,Pollock,Shumagin (610),29790,610,29790
1998,1998,1,Pollock,Total,1861001410009440,130000660607170,124730528467170
1998,1998,1,Pollock,,39315170500156001853633374936,630119150108502726049080156034036903140,3931511915055802317041720117034036903140
1999,1999,1,Pacific cod,C,34348,531702740,429352740
1999,1999,1,Pacific cod,E,1016,1690,1270
1999,1999,1,Pacific cod,SEO,,1350,1350
1999,1999,1,Pacific cod,Total,1340008070,678356050,542686050
1999,1999,1,Pacific cod,W,18904,29540,23630
1999,1999,1,Pacific cod,WYK,,1720,1720
1999,1999,1,Pacific cod,,,2401190,2401190
1999,1999,1,Pollock,Chirikof (620),38840,620,38840
1999,1999,1,Pollock,SEO,,650,6330
1999,1999,1,Pollock,Shumagin (610),23120,610,23120
1999,1999,1,Pollock,Total,146400,100920,100920
1999,1999,1,Pollock,WYK,,640,2110
1999,1999,1,Pollock,,3052013410012300,630924808440,30520924808440
2000,2000,1,Arrowtooth Flounder,C,,"97,710",
2000,2000,1,Arrowtooth Flounder,SEO,,"7,720",
2000,2000,1,Arrowtooth Flounder,W,,"16,160",
2000,2000,1,Arrowtooth Flounder,WYK,,"23,770",
2000,2000,1,Atka Mackerel,GW,,600,
2000,2000,1,Demersal Shelf Rockfish,SEO,,340,
2000,2000,1,Flathead Sole,C,,"15,720",
2000,2000,1,Flathead Sole,SEO,,620,620
2000,2000,1,Flathead Sole,W,,"8,490",
2000,2000,1,Flathead Sole,WYK,,"1,440",
2000,2000,1,Northern Rockfish,C,,"4,490",
2000,2000,1,Northern Rockfish,E,,,
2000,2000,1,Northern Rockfish,W,,630,
2000,2000,1,Other Rockfish,C,,740,
2000,2000,1,Other Rockfish,SEO,,"3,890",
2000,2000,1,Other Rockfish,W,,20,
2000,2000,1,Other Rockfish,WYK,,250,
2000,2000,1,Other Species,GW,,"15 
                            âN/A",
2000,2000,1,Pacific Ocean Perch,C,,"9,240",
2000,2000,1,Pacific Ocean Perch,SEO,,"1,700",
2000,2000,1,Pacific Ocean Perch,W,,"1,240",
2000,2000,1,Pacific Ocean Perch,WYK,,840,
2000,2000,1,Pelagic Shelf Rockfish,C,,"4,080",
2000,2000,1,Pelagic Shelf Rockfish,SEO,,770,
2000,2000,1,Pelagic Shelf Rockfish,W,,550,
2000,2000,1,Pelagic Shelf Rockfish,WYK,,580,
2000,2000,1,Rex Sole,C,,"5,660",
2000,2000,1,Rex Sole,SEO,,"1,010",
2000,2000,1,Rex Sole,W,,"1,230",
2000,2000,1,Rex Sole,WYK,,"1,540",
2000,2000,1,Sablefish,C,,"5,730",
2000,2000,1,Sablefish,SEO,,"3,553","3,553"
2000,2000,1,Sablefish,W,,"1,840",
2000,2000,1,Sablefish,WYK,,"2,207",
2000,2000,1,Thornyhead Rockfish,C,,990,
2000,2000,1,Thornyhead Rockfish,E,,940,
2000,2000,1,Thornyhead Rockfish,W,,430,
